City,Temperature F,Humidity %,Cloudiness %,Wind Speed mph,Latitude,Longitude,Date
zakamensk,10.96,64.0,12.0,2.55,50.38,103.29,Mon Dec  9 23:25:15 2019
half moon bay,51.39,71.0,75.0,4.68,37.46,-122.43,Mon Dec  9 23:25:15 2019
bismarck,0.48,71.0,90.0,10.29,46.81,-100.78,Mon Dec  9 23:25:13 2019
nelson bay,79.68,40.0,0.0,10.29,-32.72,152.14,Mon Dec  9 23:25:16 2019
komsomolskiy,26.22,96.0,100.0,13.0,67.55,63.78,Mon Dec  9 23:25:16 2019
svetlogorsk,19.4,100.0,40.0,4.47,53.14,59.15,Mon Dec  9 23:25:16 2019
sitio novo do tocantins,19.4,100.0,40.0,4.47,53.14,59.15,Mon Dec  9 23:25:16 2019
morehead,54.14,93.0,75.0,5.82,38.18,-83.43,Mon Dec  9 23:25:17 2019
umzimvubu,54.14,93.0,75.0,5.82,38.18,-83.43,Mon Dec  9 23:25:17 2019
grand river south east,54.14,93.0,75.0,5.82,38.18,-83.43,Mon Dec  9 23:25:17 2019
lahaina,71.55,78.0,1.0,5.82,20.87,-156.68,Mon Dec  9 23:25:17 2019
peleduy,-0.06,95.0,100.0,5.99,59.63,112.75,Mon Dec  9 23:25:18 2019
chokurdakh,-14.17,98.0,100.0,5.66,70.62,147.9,Mon Dec  9 23:25:18 2019
butaritari,84.45,63.0,60.0,4.05,3.07,172.79,Mon Dec  9 23:25:18 2019
chissamba,84.45,63.0,60.0,4.05,3.07,172.79,Mon Dec  9 23:25:18 2019
banjar,85.66,66.0,67.0,3.91,-7.37,108.54,Mon Dec  9 23:25:18 2019
gari,32.38,83.0,77.0,14.41,59.43,62.35,Mon Dec  9 23:25:19 2019
hithadhoo,82.89,78.0,37.0,10.16,-0.6,73.08,Mon Dec  9 23:25:19 2019
tuktoyaktuk,-9.4,76.0,5.0,16.11,69.44,-133.03,Mon Dec  9 23:25:19 2019
hermanus,72.41,59.0,100.0,1.99,-34.42,19.24,Mon Dec  9 23:25:19 2019
ust-kuyga,-26.54,95.0,66.0,0.83,70.0,135.55,Mon Dec  9 23:25:19 2019
gillette,14.83,92.0,90.0,10.83,44.29,-105.5,Mon Dec  9 23:25:02 2019
chumikan,3.43,95.0,100.0,1.72,54.72,135.31,Mon Dec  9 23:25:20 2019
aykhal,-22.0,82.0,50.0,2.24,65.95,111.51,Mon Dec  9 23:25:20 2019
sentyabrskiy,-22.0,82.0,50.0,2.24,65.95,111.51,Mon Dec  9 23:25:20 2019
fort nelson,10.4,85.0,90.0,3.36,58.81,-122.69,Mon Dec  9 23:25:20 2019
yellowknife,-26.28,67.0,5.0,6.93,62.45,-114.38,Mon Dec  9 23:25:21 2019
acapulco,75.2,88.0,5.0,3.33,16.86,-99.88,Mon Dec  9 23:25:21 2019
luanda,82.4,65.0,40.0,5.82,-8.83,13.24,Mon Dec  9 23:25:21 2019
japura,85.06,71.0,94.0,4.38,-0.42,102.29,Mon Dec  9 23:25:21 2019
lufilufi,80.01,83.0,74.0,8.46,-13.87,-171.6,Mon Dec  9 23:25:21 2019
thompson,-23.8,67.0,40.0,9.17,55.74,-97.86,Mon Dec  9 23:25:22 2019
avarua,73.4,94.0,100.0,12.75,-21.21,-159.78,Mon Dec  9 23:25:22 2019
palabuhanratu,73.4,94.0,100.0,12.75,-21.21,-159.78,Mon Dec  9 23:25:22 2019
saskylakh,-21.35,94.0,36.0,5.59,71.97,114.09,Mon Dec  9 23:25:22 2019
viligili,-21.35,94.0,36.0,5.59,71.97,114.09,Mon Dec  9 23:25:22 2019
albany,45.25,87.0,90.0,14.99,42.65,-73.75,Mon Dec  9 23:22:42 2019
margate,64.45,59.0,20.0,17.22,-43.03,147.26,Mon Dec  9 23:25:23 2019
illoqqortoormiut,64.45,59.0,20.0,17.22,-43.03,147.26,Mon Dec  9 23:25:23 2019
kapaa,73.89,94.0,40.0,3.36,22.08,-159.32,Mon Dec  9 23:22:31 2019
alofi,77.0,94.0,100.0,3.36,-19.06,-169.92,Mon Dec  9 23:25:23 2019
mar del plata,56.1,54.0,24.0,8.12,-46.43,-67.52,Mon Dec  9 23:25:23 2019
boa vista,78.8,74.0,77.0,8.05,2.82,-60.67,Mon Dec  9 23:25:24 2019
chuy,66.67,76.0,0.0,7.49,-33.69,-53.46,Mon Dec  9 23:25:24 2019
yulara,105.8,7.0,0.0,12.75,-25.24,130.99,Mon Dec  9 23:25:24 2019
lorengau,85.01,65.0,100.0,1.32,-2.02,147.27,Mon Dec  9 23:25:24 2019
baculin,79.9,80.0,99.0,6.02,7.45,126.58,Mon Dec  9 23:24:03 2019
coquimbo,55.4,82.0,40.0,3.36,-29.95,-71.34,Mon Dec  9 23:25:25 2019
peringat,82.4,74.0,20.0,12.75,5.99,102.3,Mon Dec  9 23:25:25 2019
cururupu,73.44,94.0,53.0,2.46,-1.82,-44.87,Mon Dec  9 23:25:25 2019
zhigansk,-22.29,92.0,100.0,5.37,66.77,123.37,Mon Dec  9 23:25:25 2019
tual,85.35,62.0,100.0,6.2,-5.67,132.75,Mon Dec  9 23:25:26 2019
rorvik,24.8,100.0,40.0,3.36,64.86,11.24,Mon Dec  9 23:25:26 2019
porto walter,72.43,91.0,100.0,2.1,-8.27,-72.74,Mon Dec  9 23:25:26 2019
faanui,81.07,71.0,100.0,6.22,-16.48,-151.75,Mon Dec  9 23:25:26 2019
egvekinot,21.85,90.0,100.0,28.1,66.32,-179.17,Mon Dec  9 23:25:26 2019
berezovyy,3.09,80.0,98.0,2.39,51.67,135.7,Mon Dec  9 23:25:26 2019
chapais,32.0,99.0,90.0,11.41,49.78,-74.86,Mon Dec  9 23:25:27 2019
hilo,65.7,83.0,1.0,3.36,19.71,-155.08,Mon Dec  9 23:25:27 2019
broome,37.47,86.0,63.0,12.75,52.47,1.45,Mon Dec  9 23:25:27 2019
pangkalanbuun,84.63,81.0,100.0,2.51,-2.68,111.62,Mon Dec  9 23:25:27 2019
evensk,-8.48,76.0,100.0,9.98,61.92,159.24,Mon Dec  9 23:25:27 2019
bambous virieux,86.59,74.0,75.0,16.11,-20.34,57.76,Mon Dec  9 23:25:28 2019
cidreira,71.29,84.0,0.0,4.68,-30.17,-50.22,Mon Dec  9 23:25:28 2019
magistralnyy,2.43,89.0,99.0,2.24,56.17,107.45,Mon Dec  9 23:25:28 2019
nikolskoye,41.0,80.0,20.0,15.66,59.7,30.79,Mon Dec  9 23:25:28 2019
milingimbi,41.0,80.0,20.0,15.66,59.7,30.79,Mon Dec  9 23:25:28 2019
saint-philippe,44.83,93.0,90.0,10.29,45.36,-73.48,Mon Dec  9 23:25:29 2019
tarudant,44.83,93.0,90.0,10.29,45.36,-73.48,Mon Dec  9 23:25:29 2019
gat,69.12,60.0,100.0,10.29,14.69,-16.54,Mon Dec  9 23:25:29 2019
banda aceh,83.7,67.0,34.0,8.77,5.56,95.32,Mon Dec  9 23:23:04 2019
taolanaro,83.7,67.0,34.0,8.77,5.56,95.32,Mon Dec  9 23:23:04 2019
porto nacional,73.4,100.0,20.0,4.7,-10.7,-48.41,Mon Dec  9 23:25:30 2019
byron bay,82.99,78.0,0.0,16.11,-28.65,153.62,Mon Dec  9 23:25:13 2019
ilulissat,1.4,45.0,0.0,2.24,69.22,-51.1,Mon Dec  9 23:25:30 2019
laguna,71.42,91.0,47.0,0.92,16.17,-88.94,Mon Dec  9 23:25:30 2019
punta arenas,43.12,70.0,40.0,11.41,-53.16,-70.91,Mon Dec  9 23:25:26 2019
victoria,86.99,70.0,75.0,4.7,5.28,115.24,Mon Dec  9 23:25:31 2019
butia,68.09,92.0,99.0,0.83,-21.88,-47.57,Mon Dec  9 23:25:31 2019
jining,57.96,22.0,27.0,12.33,35.41,116.58,Mon Dec  9 23:25:31 2019
krasnoarmeyskiy,40.93,83.0,100.0,4.94,46.12,40.39,Mon Dec  9 23:25:31 2019
manokwari,75.09,92.0,95.0,4.61,-0.87,134.08,Mon Dec  9 23:25:31 2019
saint anthony,26.02,85.0,90.0,3.36,43.97,-111.68,Mon Dec  9 23:25:32 2019
mahebourg,86.61,74.0,75.0,16.11,-20.41,57.7,Mon Dec  9 23:25:32 2019
port macquarie,83.77,49.0,1.0,9.17,-31.43,152.91,Mon Dec  9 23:25:32 2019
east london,64.4,88.0,75.0,9.17,-33.02,27.91,Mon Dec  9 23:25:32 2019
panzhihua,55.99,53.0,0.0,2.73,26.59,101.72,Mon Dec  9 23:25:32 2019
ozgon,55.99,53.0,0.0,2.73,26.59,101.72,Mon Dec  9 23:25:32 2019
cankuzo,65.7,84.0,89.0,1.12,-3.22,30.55,Mon Dec  9 23:25:33 2019
labuhan,85.01,73.0,86.0,2.55,-2.54,115.51,Mon Dec  9 23:25:33 2019
bandarbeyla,79.86,85.0,37.0,18.39,9.49,50.81,Mon Dec  9 23:25:06 2019
petropavlovsk-kamchatskiy,19.4,57.0,46.0,11.18,53.05,158.65,Mon Dec  9 23:25:33 2019
rawson,63.41,54.0,100.0,23.2,-43.3,-65.11,Mon Dec  9 23:25:33 2019
newport,47.12,87.0,100.0,13.87,51.59,-3.0,Mon Dec  9 23:25:34 2019
ponta do sol,66.49,97.0,100.0,4.92,-20.63,-46.0,Mon Dec  9 23:25:34 2019
kamenskoye,66.49,97.0,100.0,4.92,-20.63,-46.0,Mon Dec  9 23:25:34 2019
koumac,78.24,63.0,95.0,5.06,-20.56,164.28,Mon Dec  9 23:25:34 2019
morant bay,72.9,83.0,20.0,9.17,17.88,-76.41,Mon Dec  9 23:25:34 2019
hobyo,83.3,69.0,17.0,14.43,5.35,48.53,Mon Dec  9 23:25:35 2019
amderma,83.3,69.0,17.0,14.43,5.35,48.53,Mon Dec  9 23:25:35 2019
port elizabeth,57.4,87.0,90.0,8.05,39.31,-74.98,Mon Dec  9 23:25:35 2019
ipu,73.29,81.0,97.0,4.65,-4.32,-40.71,Mon Dec  9 23:25:35 2019
pisco,66.65,93.0,90.0,13.87,-13.71,-76.2,Mon Dec  9 23:25:35 2019
tougue,64.09,25.0,86.0,0.54,11.45,-11.68,Mon Dec  9 23:25:36 2019
bolshoye sorokino,64.09,25.0,86.0,0.54,11.45,-11.68,Mon Dec  9 23:25:36 2019
fort morgan,25.59,73.0,1.0,10.29,40.25,-103.8,Mon Dec  9 23:21:21 2019
ternate,84.06,70.0,75.0,6.93,14.29,120.72,Mon Dec  9 23:25:36 2019
vytegra,38.71,89.0,100.0,12.57,61.01,36.45,Mon Dec  9 23:25:36 2019
arraial do cabo,73.99,94.0,100.0,17.45,-22.97,-42.02,Mon Dec  9 23:25:37 2019
stornoway,73.99,94.0,100.0,17.45,-22.97,-42.02,Mon Dec  9 23:25:37 2019
aksarka,28.67,96.0,100.0,15.7,66.56,67.8,Mon Dec  9 23:25:37 2019
esperance,68.0,56.0,86.0,19.46,-33.86,121.89,Mon Dec  9 23:25:37 2019
dayong,71.6,56.0,72.0,8.95,25.02,118.29,Mon Dec  9 23:25:37 2019
mragowo,39.2,86.0,75.0,10.29,53.86,21.31,Mon Dec  9 23:25:37 2019
omsukchan,-21.51,98.0,100.0,5.64,62.53,155.8,Mon Dec  9 23:25:38 2019
samana,70.38,90.0,30.0,2.42,0.12,-76.97,Mon Dec  9 23:25:38 2019
mehamn,28.36,92.0,90.0,38.03,71.03,27.85,Mon Dec  9 23:25:38 2019
richards bay,69.55,70.0,100.0,2.37,-28.77,32.06,Mon Dec  9 23:25:38 2019
khatanga,-5.01,88.0,0.0,11.21,71.98,102.47,Mon Dec  9 23:25:38 2019
sumenep,86.04,65.0,93.0,6.64,-7.02,113.87,Mon Dec  9 23:25:39 2019
sisimiut,12.92,44.0,98.0,5.93,66.94,-53.67,Mon Dec  9 23:25:39 2019
vagay,27.05,89.0,79.0,10.38,57.94,69.02,Mon Dec  9 23:25:39 2019
coihueco,52.81,100.0,45.0,2.24,-36.63,-71.83,Mon Dec  9 23:25:39 2019
yatou,77.0,94.0,75.0,1.12,3.63,9.81,Mon Dec  9 23:25:39 2019
airai,87.06,34.0,0.0,7.83,-8.93,125.41,Mon Dec  9 23:25:40 2019
san borja,72.21,99.0,100.0,2.44,-14.86,-66.75,Mon Dec  9 23:25:40 2019
neryungri,-0.06,98.0,100.0,3.65,56.66,124.71,Mon Dec  9 23:25:40 2019
esso,4.51,93.0,93.0,9.26,55.93,158.7,Mon Dec  9 23:25:40 2019
lleida,45.77,81.0,0.0,14.99,41.61,0.63,Mon Dec  9 23:25:40 2019
bredasdorp,71.69,56.0,75.0,13.87,-34.53,20.04,Mon Dec  9 23:25:41 2019
aporawan,71.69,56.0,75.0,13.87,-34.53,20.04,Mon Dec  9 23:25:41 2019
katangli,12.87,86.0,100.0,2.42,51.71,143.23,Mon Dec  9 23:25:41 2019
puerto ayora,72.0,91.0,11.0,4.0,-0.74,-90.35,Mon Dec  9 23:25:41 2019
begunitsy,40.42,80.0,20.0,15.66,59.58,29.3,Mon Dec  9 23:25:42 2019
sinop,41.0,80.0,0.0,4.7,42.03,35.15,Mon Dec  9 23:25:42 2019
ribeira grande,62.6,67.0,75.0,14.99,38.52,-28.7,Mon Dec  9 23:25:42 2019
narsaq,26.6,68.0,100.0,10.29,60.91,-46.05,Mon Dec  9 23:25:42 2019
seoul,49.57,87.0,90.0,1.12,37.57,126.98,Mon Dec  9 23:21:14 2019
kotelnich,35.26,94.0,100.0,12.77,58.31,48.34,Mon Dec  9 23:25:43 2019
shymkent,46.4,93.0,90.0,11.18,42.31,69.59,Mon Dec  9 23:25:43 2019
san patricio,69.85,75.0,5.0,3.18,-26.98,-56.83,Mon Dec  9 23:25:43 2019
zhanaozen,38.59,80.0,99.0,4.92,43.35,52.85,Mon Dec  9 23:25:43 2019
kaitangata,57.0,89.0,41.0,3.0,-46.28,169.85,Mon Dec  9 23:25:43 2019
lagoa,50.25,81.0,0.0,6.93,37.14,-8.45,Mon Dec  9 23:25:44 2019
viedma,63.61,46.0,33.0,4.97,-40.81,-62.99,Mon Dec  9 23:25:44 2019
bengkulu,63.61,46.0,33.0,4.97,-40.81,-62.99,Mon Dec  9 23:25:44 2019
galiwinku,63.61,46.0,33.0,4.97,-40.81,-62.99,Mon Dec  9 23:25:44 2019
torbay,41.45,86.0,90.0,14.99,47.66,-52.73,Mon Dec  9 23:25:44 2019
armacao dos buzios,41.45,86.0,90.0,14.99,47.66,-52.73,Mon Dec  9 23:25:44 2019
codrington,84.29,58.0,31.0,16.11,-28.95,153.24,Mon Dec  9 23:25:45 2019
estelle,43.65,56.0,0.0,6.93,43.97,3.47,Mon Dec  9 23:25:45 2019
venice,62.92,100.0,90.0,5.82,27.1,-82.45,Mon Dec  9 23:23:00 2019
cayenne,77.0,88.0,75.0,4.7,4.94,-52.33,Mon Dec  9 23:25:45 2019
tidore,77.0,88.0,75.0,4.7,4.94,-52.33,Mon Dec  9 23:25:45 2019
whitianga,68.0,62.0,77.0,1.99,-36.83,175.7,Mon Dec  9 23:25:46 2019
attawapiskat,68.0,62.0,77.0,1.99,-36.83,175.7,Mon Dec  9 23:25:46 2019
faranah,65.53,52.0,35.0,0.96,10.04,-10.74,Mon Dec  9 23:25:46 2019
clyde river,-14.8,94.0,36.0,5.84,70.47,-68.59,Mon Dec  9 23:25:46 2019
qaanaaq,-8.16,52.0,0.0,6.6,77.48,-69.36,Mon Dec  9 23:25:47 2019
bethel,37.4,76.0,20.0,23.04,60.79,-161.76,Mon Dec  9 23:25:47 2019
tuatapere,57.99,71.0,100.0,7.0,-46.13,167.69,Mon Dec  9 23:25:47 2019
burnie,60.01,78.0,22.0,1.99,-41.05,145.91,Mon Dec  9 23:25:47 2019
kidal,65.08,15.0,67.0,10.83,18.44,1.41,Mon Dec  9 23:25:48 2019
lethem,78.46,70.0,100.0,12.59,3.38,-59.8,Mon Dec  9 23:25:48 2019
toora-khem,12.51,84.0,92.0,2.19,52.47,96.11,Mon Dec  9 23:25:48 2019
leningradskiy,16.65,96.0,100.0,11.36,69.38,178.42,Mon Dec  9 23:25:48 2019
dikson,6.44,83.0,100.0,17.05,73.51,80.55,Mon Dec  9 23:25:48 2019
sovetskiy,34.14,97.0,100.0,14.61,56.76,48.47,Mon Dec  9 23:25:48 2019
tilichiki,-14.04,93.0,1.0,8.08,60.47,166.1,Mon Dec  9 23:25:49 2019
saldanha,36.86,84.0,86.0,2.68,41.42,-6.55,Mon Dec  9 23:25:49 2019
mgachi,10.92,83.0,100.0,4.41,51.05,142.27,Mon Dec  9 23:25:49 2019
noyabrsk,27.72,94.0,99.0,23.62,63.2,75.45,Mon Dec  9 23:25:49 2019
grand centre,27.72,94.0,99.0,23.62,63.2,75.45,Mon Dec  9 23:25:49 2019
mindelo,40.77,86.0,11.0,3.36,41.31,-8.72,Mon Dec  9 23:25:50 2019
raudeberg,31.68,69.0,75.0,19.46,61.99,5.14,Mon Dec  9 23:25:50 2019
bac lieu,31.68,69.0,75.0,19.46,61.99,5.14,Mon Dec  9 23:25:50 2019
katsuura,55.4,66.0,20.0,9.17,33.93,134.5,Mon Dec  9 23:25:50 2019
tefe,73.26,89.0,88.0,1.01,-3.35,-64.71,Mon Dec  9 23:25:51 2019
nicoya,74.23,83.0,9.0,2.24,10.15,-85.45,Mon Dec  9 23:25:51 2019
longlac,74.23,83.0,9.0,2.24,10.15,-85.45,Mon Dec  9 23:25:51 2019
maxixe,80.6,74.0,75.0,11.41,-23.86,35.35,Mon Dec  9 23:25:51 2019
marzuq,76.08,44.0,0.0,3.83,14.4,46.47,Mon Dec  9 23:25:52 2019
isangel,80.6,74.0,75.0,11.41,-19.55,169.27,Mon Dec  9 23:25:52 2019
tiksi,-17.14,98.0,100.0,3.06,71.64,128.87,Mon Dec  9 23:25:52 2019
beyneu,36.82,73.0,100.0,8.37,45.32,55.19,Mon Dec  9 23:25:52 2019
hihifo,36.82,73.0,100.0,8.37,45.32,55.19,Mon Dec  9 23:25:52 2019
ca mau,87.08,47.0,43.0,4.09,9.18,105.15,Mon Dec  9 23:25:53 2019
kargopol,37.18,94.0,100.0,10.89,61.51,38.95,Mon Dec  9 23:25:53 2019
senno,39.2,86.0,75.0,11.18,57.76,27.95,Mon Dec  9 23:25:53 2019
jieshi,70.0,40.0,0.0,7.14,22.82,115.83,Mon Dec  9 23:25:53 2019
le port,38.14,79.0,88.0,4.0,42.87,1.37,Mon Dec  9 23:25:54 2019
katherine,105.8,12.0,4.0,17.22,-14.47,132.26,Mon Dec  9 23:25:54 2019
broadstairs,38.88,93.0,50.0,9.17,51.36,1.44,Mon Dec  9 23:25:54 2019
upernavik,0.19,51.0,0.0,5.57,72.79,-56.15,Mon Dec  9 23:25:54 2019
olafsvik,0.19,51.0,0.0,5.57,72.79,-56.15,Mon Dec  9 23:25:54 2019
goianesia,68.04,94.0,100.0,2.28,-15.32,-49.12,Mon Dec  9 23:25:55 2019
salalah,84.2,62.0,40.0,6.93,17.01,54.1,Mon Dec  9 23:25:55 2019
velyka lepetykha,37.35,96.0,71.0,7.78,47.18,33.94,Mon Dec  9 23:25:55 2019
kavaratti,82.85,67.0,10.0,6.6,10.57,72.64,Mon Dec  9 23:25:56 2019
toliary,82.85,67.0,10.0,6.6,10.57,72.64,Mon Dec  9 23:25:56 2019
mackenzie,15.8,85.0,90.0,2.24,55.34,-123.09,Mon Dec  9 23:25:56 2019
mys shmidta,15.8,85.0,90.0,2.24,55.34,-123.09,Mon Dec  9 23:25:56 2019
lompoc,48.2,93.0,1.0,11.5,34.64,-120.46,Mon Dec  9 23:24:02 2019
kavieng,85.14,68.0,81.0,6.42,-2.57,150.8,Mon Dec  9 23:25:57 2019
kuah,85.14,68.0,81.0,6.42,-2.57,150.8,Mon Dec  9 23:25:57 2019
burica,85.14,68.0,81.0,6.42,-2.57,150.8,Mon Dec  9 23:25:57 2019
lavrentiya,28.53,92.0,100.0,28.72,65.58,-170.99,Mon Dec  9 23:25:57 2019
tessalit,62.56,22.0,100.0,8.3,20.2,1.01,Mon Dec  9 23:25:58 2019
altay,23.41,67.0,0.0,1.25,47.83,88.13,Mon Dec  9 23:25:58 2019
fortuna foothills,56.14,71.0,1.0,6.93,32.66,-114.41,Mon Dec  9 23:25:58 2019
guira de melena,71.28,100.0,20.0,3.36,22.79,-82.51,Mon Dec  9 23:25:58 2019
pedasi,79.02,84.0,0.0,16.62,7.53,-80.03,Mon Dec  9 23:25:59 2019
ugoofaaru,82.96,79.0,67.0,19.55,5.67,73.0,Mon Dec  9 23:25:59 2019
belushya guba,82.96,79.0,67.0,19.55,5.67,73.0,Mon Dec  9 23:25:59 2019
touros,69.8,88.0,20.0,2.24,-5.2,-35.46,Mon Dec  9 23:25:59 2019
brooks,12.0,88.0,90.0,7.0,50.57,-111.89,Mon Dec  9 23:26:00 2019
sao joao da barra,72.81,93.0,87.0,4.94,-21.64,-41.05,Mon Dec  9 23:26:00 2019
borovskoy,22.77,93.0,12.0,9.53,53.8,64.15,Mon Dec  9 23:26:00 2019
caramay,82.53,74.0,91.0,7.09,10.18,119.24,Mon Dec  9 23:26:00 2019
sadabad,71.8,36.0,0.0,3.49,27.44,78.04,Mon Dec  9 23:26:00 2019
lisala,73.65,83.0,84.0,1.03,2.15,21.52,Mon Dec  9 23:26:01 2019
leeton,95.23,15.0,65.0,12.75,-34.55,146.4,Mon Dec  9 23:26:01 2019
hasaki,57.7,82.0,75.0,5.82,35.73,140.83,Mon Dec  9 23:26:01 2019
juba,39.65,86.0,40.0,12.75,57.82,26.93,Mon Dec  9 23:26:01 2019
nuuk,24.21,85.0,100.0,13.87,64.17,-51.74,Mon Dec  9 23:26:02 2019
general roca,69.8,40.0,67.0,5.82,-39.03,-67.58,Mon Dec  9 23:26:02 2019
carrickfergus,50.25,93.0,100.0,18.34,54.72,-5.81,Mon Dec  9 23:26:02 2019
severo-kurilsk,20.19,87.0,92.0,17.98,50.68,156.12,Mon Dec  9 23:26:02 2019
macusani,37.49,93.0,100.0,2.95,-14.07,-70.43,Mon Dec  9 23:26:02 2019
itaituba,72.07,98.0,92.0,0.87,-4.26,-55.99,Mon Dec  9 23:26:02 2019
tumannyy,72.07,98.0,92.0,0.87,-4.26,-55.99,Mon Dec  9 23:26:02 2019
qasigiannguit,1.4,45.0,0.0,2.24,68.82,-51.19,Mon Dec  9 23:26:03 2019
syracuse,47.01,87.0,90.0,9.17,43.05,-76.15,Mon Dec  9 23:22:23 2019
tocopilla,54.72,49.0,81.0,4.88,-22.09,-70.2,Mon Dec  9 23:26:03 2019
los llanos de aridane,64.4,68.0,20.0,9.17,28.66,-17.92,Mon Dec  9 23:26:03 2019
palmer,73.22,27.0,1.0,16.11,-34.85,139.16,Mon Dec  9 23:26:04 2019
ngunguru,64.0,71.0,1.0,13.15,-35.62,174.5,Mon Dec  9 23:26:04 2019
shadegan,58.12,71.0,100.0,6.02,30.65,48.67,Mon Dec  9 23:26:04 2019
joshimath,52.45,22.0,40.0,5.1,30.57,79.57,Mon Dec  9 23:26:04 2019
lolua,52.45,22.0,40.0,5.1,30.57,79.57,Mon Dec  9 23:26:04 2019
dingle,80.89,81.0,100.0,13.53,11.0,122.67,Mon Dec  9 23:26:05 2019
ho,80.89,81.0,100.0,13.53,11.0,122.67,Mon Dec  9 23:26:05 2019
pagudpud,82.4,58.0,40.0,5.82,18.56,120.79,Mon Dec  9 23:26:05 2019
plettenberg bay,67.1,60.0,99.0,3.33,-34.05,23.37,Mon Dec  9 23:26:05 2019
maragogi,79.21,78.0,4.0,14.12,-9.01,-35.22,Mon Dec  9 23:26:05 2019
