City,Temperature F,Humidity %,Cloudiness %,Wind Speed mph,Latitude,Longitude,Date
vaini,68.09,94.0,3.0,2.48,15.34,74.49,Mon Oct 28 14:25:58 2019
guardiagrele,55.6,87.0,99.0,4.7,42.2,14.22,Mon Oct 28 14:25:58 2019
bianzhuang,30.47,34.0,0.0,6.26,39.44,112.12,Mon Oct 28 14:25:58 2019
ahipara,57.0,100.0,100.0,13.62,-35.17,173.16,Mon Oct 28 14:25:58 2019
khatanga,6.46,78.0,9.0,16.37,71.98,102.47,Mon Oct 28 14:25:58 2019
mackay,17.6,61.0,90.0,9.17,53.65,-115.58,Mon Oct 28 14:25:58 2019
belushya guba,17.6,61.0,90.0,9.17,53.65,-115.58,Mon Oct 28 14:25:58 2019
alugan,81.23,80.0,100.0,1.63,12.22,125.48,Mon Oct 28 14:25:59 2019
stoyba,81.23,80.0,100.0,1.63,12.22,125.48,Mon Oct 28 14:25:59 2019
hobyo,80.6,78.0,40.0,11.79,5.35,48.53,Mon Oct 28 14:25:59 2019
nobeoka,54.34,96.0,100.0,4.27,32.66,131.66,Mon Oct 28 14:25:59 2019
isla mujeres,84.09,74.0,75.0,5.82,21.23,-86.73,Mon Oct 28 14:26:00 2019
kavieng,83.61,72.0,16.0,2.84,-2.57,150.8,Mon Oct 28 14:26:00 2019
nikolskoye,31.75,83.0,40.0,4.47,59.7,30.79,Mon Oct 28 14:26:00 2019
berezovka,33.12,85.0,17.0,2.8,55.71,42.61,Mon Oct 28 14:26:00 2019
hithadhoo,81.72,72.0,100.0,4.76,-0.6,73.08,Mon Oct 28 14:26:00 2019
shubarshi,53.58,38.0,40.0,14.61,48.59,57.19,Mon Oct 28 14:26:01 2019
port alfred,59.0,67.0,46.0,11.01,-33.59,26.89,Mon Oct 28 14:26:01 2019
rikitea,71.83,82.0,46.0,14.25,-23.12,-134.97,Mon Oct 28 14:26:01 2019
ilulissat,28.4,86.0,93.0,2.01,69.22,-51.1,Mon Oct 28 14:26:01 2019
pitimbu,77.0,78.0,40.0,11.41,-7.47,-34.81,Mon Oct 28 14:26:01 2019
ancud,50.0,87.0,75.0,23.04,-41.87,-73.83,Mon Oct 28 14:26:01 2019
kongolo,70.34,95.0,100.0,1.95,-5.39,27.0,Mon Oct 28 14:26:02 2019
amapa,86.59,74.0,40.0,9.17,15.09,-87.97,Mon Oct 28 14:26:02 2019
jaguarao,84.61,76.0,83.0,5.37,-32.57,-53.38,Mon Oct 28 14:26:02 2019
egvekinot,12.7,80.0,7.0,7.85,66.32,-179.17,Mon Oct 28 14:26:02 2019
upernavik,27.73,96.0,100.0,7.61,72.79,-56.15,Mon Oct 28 14:24:52 2019
margate,58.53,13.0,100.0,17.22,-43.03,147.26,Mon Oct 28 14:26:03 2019
solnechnyy,31.03,84.0,98.0,1.32,50.72,136.64,Mon Oct 28 14:26:03 2019
poum,42.8,75.0,20.0,3.36,41.28,20.71,Mon Oct 28 14:26:03 2019
georgetown,83.14,74.0,40.0,9.17,6.8,-58.16,Mon Oct 28 14:22:20 2019
salalah,78.8,39.0,93.0,5.82,17.01,54.1,Mon Oct 28 14:26:03 2019
kavaratti,81.21,77.0,83.0,9.01,10.57,72.64,Mon Oct 28 14:25:00 2019
thompson,19.4,79.0,90.0,14.99,55.74,-97.86,Mon Oct 28 14:26:04 2019
bambous virieux,70.5,88.0,20.0,2.24,-20.34,57.76,Mon Oct 28 14:26:04 2019
sioux lookout,27.36,68.0,90.0,10.29,50.1,-91.92,Mon Oct 28 14:26:04 2019
conceicao do araguaia,80.91,62.0,72.0,3.04,-8.26,-49.26,Mon Oct 28 14:26:04 2019
visimo-utkinsk,80.91,62.0,72.0,3.04,-8.26,-49.26,Mon Oct 28 14:26:04 2019
albany,57.06,59.0,90.0,6.93,42.65,-73.75,Mon Oct 28 14:24:47 2019
bafq,60.84,46.0,0.0,7.18,31.6,55.4,Mon Oct 28 14:26:05 2019
codrington,66.04,77.0,94.0,4.7,-28.95,153.24,Mon Oct 28 14:26:05 2019
aklavik,24.3,85.0,90.0,14.99,68.22,-135.01,Mon Oct 28 14:26:05 2019
tuatapere,48.99,87.0,100.0,1.99,-46.13,167.69,Mon Oct 28 14:26:06 2019
saleaula,48.99,87.0,100.0,1.99,-46.13,167.69,Mon Oct 28 14:26:06 2019
ishigaki,75.2,88.0,75.0,9.17,24.34,124.16,Mon Oct 28 14:26:06 2019
grand gaube,70.39,88.0,20.0,2.24,-20.01,57.66,Mon Oct 28 14:24:52 2019
jamestown,59.22,36.0,0.0,8.86,-33.21,138.6,Mon Oct 28 14:25:28 2019
goderich,61.0,65.0,0.0,8.99,43.74,-81.71,Mon Oct 28 14:26:07 2019
sao jose da coroa grande,78.82,75.0,26.0,18.75,-8.9,-35.15,Mon Oct 28 14:26:07 2019
lompoc,69.96,27.0,1.0,6.93,34.64,-120.46,Mon Oct 28 14:22:42 2019
vila franca do campo,66.2,93.0,75.0,25.28,37.72,-25.43,Mon Oct 28 14:26:07 2019
port hardy,44.6,81.0,75.0,6.93,50.7,-127.42,Mon Oct 28 14:26:07 2019
tomino,44.6,45.0,32.0,22.37,54.95,61.17,Mon Oct 28 14:26:07 2019
atuona,79.83,79.0,100.0,19.66,-9.8,-139.03,Mon Oct 28 14:26:08 2019
chara,55.4,82.0,12.0,4.7,39.42,22.43,Mon Oct 28 14:26:08 2019
freeport,87.8,66.0,20.0,8.05,26.54,-78.7,Mon Oct 28 14:26:08 2019
port elizabeth,62.17,63.0,75.0,8.05,39.31,-74.98,Mon Oct 28 14:26:08 2019
tiksi,-0.13,93.0,100.0,0.25,71.64,128.87,Mon Oct 28 14:26:08 2019
mount gambier,51.8,87.0,0.0,12.75,-37.83,140.78,Mon Oct 28 14:26:09 2019
faya,61.47,72.0,0.0,4.7,18.39,42.45,Mon Oct 28 14:26:09 2019
tumannyy,61.47,72.0,0.0,4.7,18.39,42.45,Mon Oct 28 14:26:09 2019
eirunepe,89.08,53.0,85.0,3.18,-6.66,-69.87,Mon Oct 28 14:26:09 2019
rocha,77.32,87.0,63.0,7.58,-34.48,-54.34,Mon Oct 28 14:26:09 2019
sorland,37.4,66.0,75.0,19.46,67.67,12.69,Mon Oct 28 14:26:10 2019
oranjestad,86.0,74.0,20.0,20.8,12.52,-70.03,Mon Oct 28 14:26:10 2019
guarapari,79.3,78.0,20.0,19.46,-20.67,-40.5,Mon Oct 28 14:26:10 2019
new norfolk,58.55,13.0,100.0,17.22,-42.78,147.06,Mon Oct 28 14:26:10 2019
foumban,66.22,96.0,83.0,1.95,5.73,10.9,Mon Oct 28 14:26:10 2019
east london,61.12,57.0,0.0,23.2,-33.02,27.91,Mon Oct 28 14:23:33 2019
estepa,63.52,67.0,100.0,2.24,37.29,-4.88,Mon Oct 28 14:26:11 2019
buala,83.08,74.0,97.0,5.53,-8.15,159.59,Mon Oct 28 14:25:04 2019
mitzic,66.07,97.0,80.0,1.59,0.78,11.55,Mon Oct 28 14:26:11 2019
takhtamygda,18.48,97.0,70.0,0.56,54.1,123.57,Mon Oct 28 14:26:11 2019
broken hill,66.2,25.0,0.0,10.29,-31.97,141.45,Mon Oct 28 14:26:11 2019
lerwick,41.9,80.0,75.0,6.93,60.15,-1.15,Mon Oct 28 14:22:15 2019
ola,36.27,97.0,100.0,2.19,59.58,151.3,Mon Oct 28 14:26:12 2019
chapais,42.8,93.0,90.0,5.82,49.78,-74.86,Mon Oct 28 14:26:12 2019
colesberg,46.6,40.0,0.0,12.41,-30.72,25.1,Mon Oct 28 14:26:12 2019
bayangol,28.96,76.0,0.0,5.84,48.91,106.09,Mon Oct 28 14:26:12 2019
lensk,6.13,77.0,0.0,2.62,60.71,114.91,Mon Oct 28 14:26:12 2019
ucluelet,50.47,71.0,20.0,6.93,48.94,-125.55,Mon Oct 28 14:23:59 2019
jamiltepec,50.47,71.0,20.0,6.93,48.94,-125.55,Mon Oct 28 14:23:59 2019
bambanglipuro,70.54,94.0,8.0,1.48,-7.95,110.28,Mon Oct 28 14:26:13 2019
samusu,70.54,94.0,8.0,1.48,-7.95,110.28,Mon Oct 28 14:26:13 2019
the valley,78.22,78.0,40.0,8.05,18.22,-63.06,Mon Oct 28 14:24:57 2019
sola,70.5,69.0,81.0,9.26,-3.17,33.8,Mon Oct 28 14:26:14 2019
papara,80.26,65.0,20.0,12.75,-3.98,-38.73,Mon Oct 28 14:26:14 2019
hasaki,56.37,93.0,75.0,4.7,35.73,140.83,Mon Oct 28 14:26:14 2019
tsihombe,56.37,93.0,75.0,4.7,35.73,140.83,Mon Oct 28 14:26:14 2019
cabra,60.93,67.0,100.0,2.24,37.47,-4.43,Mon Oct 28 14:26:15 2019
cockburn town,82.22,80.0,0.0,18.45,21.46,-71.14,Mon Oct 28 14:26:15 2019
zhigansk,13.71,91.0,100.0,9.98,66.77,123.37,Mon Oct 28 14:26:15 2019
kapiri mposhi,75.06,17.0,0.0,7.02,-13.97,28.68,Mon Oct 28 14:26:15 2019
alekseyevsk,31.08,97.0,100.0,8.95,57.84,108.35,Mon Oct 28 14:26:15 2019
sitka,30.0,67.0,86.0,18.01,37.17,-99.65,Mon Oct 28 14:26:16 2019
san quintin,72.61,85.0,99.0,4.34,17.54,120.52,Mon Oct 28 14:26:16 2019
tiebissou,72.79,94.0,75.0,6.93,7.16,-5.23,Mon Oct 28 14:26:16 2019
talnakh,14.0,85.0,75.0,6.71,69.49,88.39,Mon Oct 28 14:26:16 2019
omboue,73.13,92.0,100.0,0.98,-1.57,9.26,Mon Oct 28 14:26:16 2019
atbasar,51.58,63.0,0.0,23.51,51.81,68.36,Mon Oct 28 14:26:16 2019
tasiilaq,32.0,47.0,100.0,4.7,65.61,-37.64,Mon Oct 28 14:26:17 2019
arraial do cabo,79.32,83.0,40.0,20.8,-22.97,-42.02,Mon Oct 28 14:26:17 2019
ornskoldsvik,32.16,86.0,62.0,8.05,63.29,18.72,Mon Oct 28 14:26:17 2019
bluff,70.68,75.0,61.0,14.45,-23.58,149.07,Mon Oct 28 14:26:17 2019
mahebourg,70.52,88.0,20.0,2.24,-20.41,57.7,Mon Oct 28 14:26:17 2019
vanavara,21.58,94.0,100.0,7.27,60.35,102.28,Mon Oct 28 14:26:18 2019
kodiak,38.57,64.0,90.0,6.93,39.95,-94.76,Mon Oct 28 14:25:04 2019
grand river south east,38.57,64.0,90.0,6.93,39.95,-94.76,Mon Oct 28 14:25:04 2019
kaitangata,51.01,66.0,27.0,4.0,-46.28,169.85,Mon Oct 28 14:26:18 2019
ixtapa,86.0,66.0,40.0,10.29,20.71,-105.21,Mon Oct 28 14:26:18 2019
geraldton,35.6,55.0,75.0,6.93,49.72,-86.95,Mon Oct 28 14:26:19 2019
qasigiannguit,28.4,86.0,93.0,2.01,68.82,-51.19,Mon Oct 28 14:26:19 2019
dolbeau,28.4,86.0,93.0,2.01,68.82,-51.19,Mon Oct 28 14:26:19 2019
vaitupu,28.4,86.0,93.0,2.01,68.82,-51.19,Mon Oct 28 14:26:19 2019
beringovskiy,21.22,65.0,26.0,23.04,63.05,179.32,Mon Oct 28 14:26:19 2019
qaqortoq,41.0,65.0,75.0,9.37,60.72,-46.03,Mon Oct 28 14:26:19 2019
labytnangi,4.71,85.0,53.0,4.99,66.66,66.39,Mon Oct 28 14:26:20 2019
lasa,60.8,82.0,20.0,9.17,34.92,32.53,Mon Oct 28 14:26:20 2019
qaanaaq,8.28,85.0,73.0,7.02,77.48,-69.36,Mon Oct 28 14:26:20 2019
byron bay,67.06,88.0,75.0,3.04,-28.65,153.62,Mon Oct 28 14:26:20 2019
phalaborwa,71.6,78.0,100.0,17.22,-23.95,31.14,Mon Oct 28 14:26:20 2019
bolungarvik,71.6,78.0,100.0,17.22,-23.95,31.14,Mon Oct 28 14:26:20 2019
vani,53.6,93.0,75.0,2.24,42.09,42.51,Mon Oct 28 14:26:21 2019
lazaro cardenas,82.4,12.0,40.0,5.82,28.39,-105.62,Mon Oct 28 14:26:21 2019
atoyac,84.65,66.0,40.0,6.93,18.92,-96.78,Mon Oct 28 14:26:21 2019
umm kaddadah,81.5,21.0,97.0,8.39,13.6,26.69,Mon Oct 28 14:26:21 2019
kita,59.0,77.0,75.0,8.05,35.76,139.74,Mon Oct 28 14:26:22 2019
ribeira grande,66.2,82.0,40.0,26.4,38.52,-28.7,Mon Oct 28 14:26:22 2019
grand-lahou,79.5,86.0,100.0,12.01,5.24,-5.0,Mon Oct 28 14:26:22 2019
dolgoye,41.29,79.0,63.0,4.97,52.06,37.53,Mon Oct 28 14:26:22 2019
prince rupert,42.8,75.0,1.0,8.05,54.32,-130.32,Mon Oct 28 14:26:22 2019
takoradi,78.21,86.0,100.0,7.43,4.89,-1.75,Mon Oct 28 14:25:09 2019
sao geraldo do araguaia,85.24,56.0,59.0,3.76,-6.4,-48.55,Mon Oct 28 14:26:23 2019
tinaquillo,75.61,84.0,100.0,1.43,9.92,-68.31,Mon Oct 28 14:26:23 2019
dikson,9.63,87.0,100.0,15.79,73.51,80.55,Mon Oct 28 14:26:23 2019
sur,81.5,43.0,0.0,16.02,22.57,59.53,Mon Oct 28 14:26:23 2019
mosquera,64.4,52.0,20.0,9.17,4.71,-74.23,Mon Oct 28 14:26:23 2019
luxor,75.2,44.0,6.0,2.24,25.7,32.65,Mon Oct 28 14:22:59 2019
hualmay,69.89,59.0,32.0,8.95,-11.1,-77.61,Mon Oct 28 14:26:24 2019
viedma,68.18,35.0,63.0,15.46,-40.81,-62.99,Mon Oct 28 14:26:24 2019
longyearbyen,14.0,78.0,40.0,3.36,78.22,15.63,Mon Oct 28 14:26:24 2019
mocambique,14.0,78.0,40.0,3.36,78.22,15.63,Mon Oct 28 14:26:24 2019
coihaique,46.4,87.0,90.0,8.05,-45.58,-72.07,Mon Oct 28 14:26:25 2019
chokurdakh,-4.83,93.0,34.0,1.99,70.62,147.9,Mon Oct 28 14:26:25 2019
los llanos de aridane,74.35,61.0,73.0,2.24,28.66,-17.92,Mon Oct 28 14:26:25 2019
llanes,60.22,77.0,100.0,4.12,43.42,-4.75,Mon Oct 28 14:26:25 2019
coquimbo,62.6,63.0,100.0,12.75,-29.95,-71.34,Mon Oct 28 14:26:25 2019
lorengau,83.12,68.0,2.0,2.64,-2.02,147.27,Mon Oct 28 14:26:26 2019
meyungs,83.12,68.0,2.0,2.64,-2.02,147.27,Mon Oct 28 14:26:26 2019
grand falls,42.91,81.0,90.0,5.82,47.05,-67.74,Mon Oct 28 14:26:26 2019
vao,36.48,93.0,100.0,0.45,59.1,26.19,Mon Oct 28 14:25:09 2019
mys shmidta,36.48,93.0,100.0,0.45,59.1,26.19,Mon Oct 28 14:25:09 2019
ihosy,75.6,52.0,100.0,5.01,-22.4,46.13,Mon Oct 28 14:26:26 2019
bathsheba,84.2,74.0,40.0,16.11,13.22,-59.52,Mon Oct 28 14:26:27 2019
cayenne,84.2,70.0,54.0,8.05,4.94,-52.33,Mon Oct 28 14:26:27 2019
kemijarvi,84.2,70.0,54.0,8.05,4.94,-52.33,Mon Oct 28 14:26:27 2019
bahir dar,58.05,89.0,90.0,1.54,11.59,37.39,Mon Oct 28 14:26:27 2019
el faiyum,58.05,89.0,90.0,1.54,11.59,37.39,Mon Oct 28 14:26:27 2019
saint anthony,27.27,45.0,90.0,13.87,43.97,-111.68,Mon Oct 28 14:26:28 2019
aswan,73.4,28.0,0.0,4.7,24.09,32.9,Mon Oct 28 14:26:28 2019
waddan,77.76,25.0,100.0,11.83,29.16,16.14,Mon Oct 28 14:26:28 2019
tarudant,77.76,25.0,100.0,11.83,29.16,16.14,Mon Oct 28 14:26:28 2019
torres,73.53,78.0,100.0,8.41,-29.34,-49.73,Mon Oct 28 14:26:28 2019
kahului,77.23,65.0,75.0,20.8,20.89,-156.47,Mon Oct 28 14:25:56 2019
cidreira,72.45,79.0,47.0,10.76,-30.17,-50.22,Mon Oct 28 14:26:29 2019
ust-nera,7.05,96.0,100.0,0.63,64.57,143.24,Mon Oct 28 14:26:29 2019
teacapan,87.89,56.0,5.0,7.83,22.54,-105.74,Mon Oct 28 14:26:29 2019
leninskoye,48.2,93.0,90.0,20.13,54.82,82.85,Mon Oct 28 14:26:29 2019
mpongwe,69.85,27.0,17.0,4.38,-13.51,28.16,Mon Oct 28 14:26:29 2019
xiongshi,69.85,27.0,17.0,4.38,-13.51,28.16,Mon Oct 28 14:26:29 2019
cabo san lucas,85.66,35.0,5.0,9.17,22.89,-109.91,Mon Oct 28 14:25:54 2019
seoul,49.82,100.0,1.0,1.12,37.57,126.98,Mon Oct 28 14:25:01 2019
ilebo,70.23,97.0,24.0,1.79,-4.33,20.59,Mon Oct 28 14:26:30 2019
singkang,75.0,94.0,75.0,2.24,2.1,102.8,Mon Oct 28 14:26:30 2019
constitucion,77.36,15.0,5.0,3.36,23.99,-104.67,Mon Oct 28 14:26:30 2019
luderitz,57.94,70.0,0.0,30.18,-26.65,15.16,Mon Oct 28 14:26:31 2019
tete,85.95,18.0,0.0,2.26,-16.16,33.59,Mon Oct 28 14:26:31 2019
zaria,70.86,80.0,87.0,0.47,11.11,7.72,Mon Oct 28 14:26:31 2019
fortuna,58.55,41.0,20.0,9.17,40.6,-124.16,Mon Oct 28 14:26:31 2019
piacabucu,76.55,79.0,30.0,11.79,-10.41,-36.43,Mon Oct 28 14:26:31 2019
yenagoa,73.67,94.0,82.0,3.56,4.92,6.26,Mon Oct 28 14:26:32 2019
nemuro,52.38,64.0,58.0,2.33,43.32,145.57,Mon Oct 28 14:26:32 2019
paamiut,38.08,81.0,100.0,1.68,61.99,-49.67,Mon Oct 28 14:26:32 2019
college,44.51,75.0,90.0,1.9,64.86,-147.8,Mon Oct 28 14:25:34 2019
taoudenni,80.2,16.0,0.0,8.32,22.68,-3.98,Mon Oct 28 14:24:47 2019
ngukurr,80.2,16.0,0.0,8.32,22.68,-3.98,Mon Oct 28 14:24:47 2019
tura,7.25,96.0,100.0,2.71,64.27,100.22,Mon Oct 28 14:26:33 2019
rio grande,73.4,94.0,66.0,1.12,-32.03,-52.1,Mon Oct 28 14:26:33 2019
lisala,72.07,84.0,98.0,1.97,2.15,21.52,Mon Oct 28 14:26:33 2019
kununurra,71.6,73.0,93.0,2.93,-15.77,128.74,Mon Oct 28 14:26:33 2019
burnie,51.57,89.0,94.0,1.01,-41.05,145.91,Mon Oct 28 14:26:34 2019
monforte de lemos,58.53,93.0,99.0,1.01,42.52,-7.51,Mon Oct 28 14:26:34 2019
airai,64.08,82.0,42.0,2.26,-8.93,125.41,Mon Oct 28 14:26:34 2019
skeldon,82.72,79.0,97.0,11.56,5.88,-57.13,Mon Oct 28 14:26:34 2019
mrakovo,47.7,87.0,100.0,2.24,43.97,18.28,Mon Oct 28 14:26:34 2019
pevek,1.35,92.0,100.0,9.37,69.7,170.27,Mon Oct 28 14:26:34 2019
kurchum,44.65,65.0,100.0,13.29,48.57,83.65,Mon Oct 28 14:26:35 2019
atka,44.65,65.0,100.0,13.29,48.57,83.65,Mon Oct 28 14:26:35 2019
nizhnyaya salda,25.79,79.0,100.0,10.78,58.07,60.71,Mon Oct 28 14:26:35 2019
barentsburg,25.79,79.0,100.0,10.78,58.07,60.71,Mon Oct 28 14:26:35 2019
san ramon de la nueva oran,102.63,19.0,36.0,4.12,-23.13,-64.33,Mon Oct 28 14:26:35 2019
tubruq,102.63,19.0,36.0,4.12,-23.13,-64.33,Mon Oct 28 14:26:35 2019
kurumkan,18.27,96.0,99.0,1.07,54.33,110.32,Mon Oct 28 14:26:36 2019
feijo,83.75,73.0,40.0,10.29,-3.63,-79.92,Mon Oct 28 14:26:36 2019
tabarqah,83.75,73.0,40.0,10.29,-3.63,-79.92,Mon Oct 28 14:26:36 2019
amderma,83.75,73.0,40.0,10.29,-3.63,-79.92,Mon Oct 28 14:26:36 2019
jiddah,83.75,73.0,40.0,10.29,-3.63,-79.92,Mon Oct 28 14:26:36 2019
saskylakh,-0.12,96.0,78.0,7.09,71.97,114.09,Mon Oct 28 14:26:37 2019
lockport,31.5,35.0,75.0,11.41,50.09,-96.94,Mon Oct 28 14:26:37 2019
saint-pierre,46.63,81.0,100.0,10.29,48.95,4.24,Mon Oct 28 14:26:37 2019
nizhneyansk,46.63,81.0,100.0,10.29,48.95,4.24,Mon Oct 28 14:26:37 2019
buin,69.82,30.0,20.0,6.93,-33.73,-70.74,Mon Oct 28 14:26:37 2019
carnarvon,42.66,60.0,0.0,18.16,-30.97,22.13,Mon Oct 28 14:26:38 2019
san policarpo,81.23,80.0,100.0,1.63,12.18,125.51,Mon Oct 28 14:26:38 2019
touros,78.8,69.0,40.0,12.75,-5.2,-35.46,Mon Oct 28 14:26:38 2019
ust-uda,36.14,85.0,100.0,7.56,54.17,103.03,Mon Oct 28 14:26:38 2019
nieuw amsterdam,87.91,62.0,20.0,6.93,5.88,-55.08,Mon Oct 28 14:26:39 2019
provideniya,32.0,93.0,90.0,17.9,64.42,-173.23,Mon Oct 28 14:26:39 2019
benjamin constant,85.14,66.0,40.0,8.05,-4.38,-70.03,Mon Oct 28 14:26:39 2019
muli,53.08,84.0,0.0,1.77,28.08,109.56,Mon Oct 28 14:26:39 2019
souillac,57.42,93.0,34.0,4.7,45.6,-0.6,Mon Oct 28 14:26:39 2019
lodja,70.29,94.0,53.0,1.81,-3.52,23.6,Mon Oct 28 14:26:40 2019
idrinskoye,41.74,88.0,100.0,8.59,54.37,92.14,Mon Oct 28 14:26:40 2019
nichinan,57.96,100.0,75.0,2.24,31.65,131.31,Mon Oct 28 14:26:40 2019
lihula,36.34,100.0,90.0,4.7,58.68,23.83,Mon Oct 28 14:26:40 2019
cairns,72.07,78.0,40.0,8.05,-16.92,145.77,Mon Oct 28 14:21:42 2019
opuwo,71.71,26.0,100.0,1.61,-18.06,13.84,Mon Oct 28 14:26:41 2019
chagda,71.71,26.0,100.0,1.61,-18.06,13.84,Mon Oct 28 14:26:41 2019
isiolo,73.2,68.0,75.0,6.64,0.35,37.58,Mon Oct 28 14:26:41 2019
bealanana,59.0,89.0,0.0,1.16,-14.54,48.75,Mon Oct 28 14:26:41 2019
batemans bay,57.97,74.0,1.0,1.99,-35.71,150.18,Mon Oct 28 14:26:41 2019
antofagasta,60.8,77.0,20.0,14.99,-23.65,-70.4,Mon Oct 28 14:26:42 2019
bogalusa,74.86,50.0,1.0,2.57,30.79,-89.85,Mon Oct 28 14:26:42 2019
eenhana,78.87,16.0,68.0,11.05,-17.48,16.34,Mon Oct 28 14:26:42 2019
sao filipe,79.75,63.0,96.0,9.33,14.9,-24.5,Mon Oct 28 14:26:42 2019
barrow,57.88,74.0,46.0,6.4,-38.31,-60.23,Mon Oct 28 14:26:42 2019
nishihara,59.11,93.0,75.0,3.36,35.74,139.53,Mon Oct 28 14:26:42 2019
panjab,34.83,93.0,94.0,3.11,34.38,67.02,Mon Oct 28 14:26:43 2019
bwanga,64.98,89.0,12.0,3.4,-3.03,31.76,Mon Oct 28 14:26:43 2019
