City,Temperature F,Humidity %,Cloudiness %,Wind Speed mph,Latitude,Longitude,Date
encruzilhada do sul,66.92,95.0,100.0,4.41,-30.54,-52.52,Sat Nov  2 17:13:50 2019
port lincoln,62.4,47.0,24.0,12.91,-34.72,135.86,Sat Nov  2 17:13:51 2019
ilulissat,21.2,62.0,28.0,3.36,69.22,-51.1,Sat Nov  2 17:13:51 2019
marawi,81.0,81.0,33.0,3.0,8.0,124.29,Sat Nov  2 17:13:51 2019
adrar,69.8,40.0,0.0,6.93,27.87,-0.29,Sat Nov  2 17:13:51 2019
gimli,33.01,83.0,57.0,5.37,50.63,-96.99,Sat Nov  2 17:13:52 2019
nizhneyansk,33.01,83.0,57.0,5.37,50.63,-96.99,Sat Nov  2 17:13:52 2019
zhigansk,17.62,93.0,100.0,34.67,66.77,123.37,Sat Nov  2 17:13:52 2019
damghan,55.04,60.0,0.0,5.93,36.17,54.34,Sat Nov  2 17:13:52 2019
bilecik,35.19,64.0,5.0,2.24,40.14,29.98,Sat Nov  2 17:13:52 2019
paoua,71.37,76.0,16.0,2.66,7.24,16.43,Sat Nov  2 17:13:53 2019
north chicago,38.17,69.0,90.0,11.41,42.33,-87.84,Sat Nov  2 17:13:53 2019
yashkino,21.2,73.0,23.0,11.18,55.87,85.43,Sat Nov  2 17:13:53 2019
hobart,64.92,51.0,75.0,8.05,-42.88,147.33,Sat Nov  2 17:09:31 2019
xining,32.5,44.0,0.0,4.38,36.62,101.77,Sat Nov  2 17:13:53 2019
barentsburg,32.5,44.0,0.0,4.38,36.62,101.77,Sat Nov  2 17:13:53 2019
aswan,68.74,46.0,3.0,5.68,24.09,32.9,Sat Nov  2 17:13:54 2019
namibe,71.87,75.0,41.0,7.74,-15.19,12.15,Sat Nov  2 17:13:54 2019
olafsvik,71.87,75.0,41.0,7.74,-15.19,12.15,Sat Nov  2 17:13:54 2019
pevek,11.8,80.0,34.0,7.99,69.7,170.27,Sat Nov  2 17:13:54 2019
yershov,11.8,80.0,34.0,7.99,69.7,170.27,Sat Nov  2 17:13:54 2019
port elizabeth,44.58,75.0,1.0,3.36,39.31,-74.98,Sat Nov  2 17:13:55 2019
vaini,64.49,92.0,3.0,1.21,15.34,74.49,Sat Nov  2 17:13:55 2019
namatanai,79.27,88.0,100.0,7.78,-3.66,152.44,Sat Nov  2 17:13:55 2019
morondava,70.16,63.0,22.0,5.5,-20.3,44.28,Sat Nov  2 17:13:55 2019
bluff,82.83,47.0,68.0,15.23,-23.58,149.07,Sat Nov  2 17:13:56 2019
nanortalik,32.74,61.0,0.0,7.65,60.14,-45.24,Sat Nov  2 17:13:56 2019
iqaluit,26.6,79.0,75.0,3.36,63.75,-68.52,Sat Nov  2 17:13:56 2019
flinders,78.06,53.0,75.0,14.18,-34.58,150.85,Sat Nov  2 17:13:56 2019
seguela,74.1,88.0,28.0,1.68,7.96,-6.67,Sat Nov  2 17:13:56 2019
comodoro rivadavia,66.2,46.0,14.0,23.04,-45.87,-67.48,Sat Nov  2 17:13:57 2019
matola,73.99,68.0,67.0,8.01,-25.97,32.47,Sat Nov  2 17:13:57 2019
neiafu,77.0,61.0,75.0,8.05,-18.65,-173.98,Sat Nov  2 17:13:57 2019
sioux lookout,26.6,68.0,90.0,9.17,50.1,-91.92,Sat Nov  2 17:13:58 2019
thessalon,37.17,80.0,90.0,10.29,46.26,-83.55,Sat Nov  2 17:13:58 2019
katete,56.08,94.0,25.0,2.95,-0.78,29.75,Sat Nov  2 17:13:58 2019
coahuayana,76.55,77.0,4.0,1.54,18.62,-100.35,Sat Nov  2 17:13:58 2019
isangel,82.4,58.0,75.0,13.87,-19.55,169.27,Sat Nov  2 17:13:58 2019
chokurdakh,3.76,96.0,100.0,8.46,70.62,147.9,Sat Nov  2 17:13:59 2019
dibaya,3.76,96.0,100.0,8.46,70.62,147.9,Sat Nov  2 17:13:59 2019
torbay,39.11,86.0,5.0,8.05,47.66,-52.73,Sat Nov  2 17:13:59 2019
belyy yar,33.8,80.0,40.0,6.71,53.6,91.39,Sat Nov  2 17:13:59 2019
am timan,74.82,43.0,7.0,2.28,11.04,20.28,Sat Nov  2 17:13:59 2019
luderitz,66.2,42.0,0.0,6.93,-26.65,15.16,Sat Nov  2 17:14:00 2019
kathu,61.0,31.0,100.0,3.85,-27.7,23.05,Sat Nov  2 17:14:00 2019
yulara,71.6,26.0,0.0,19.46,-25.24,130.99,Sat Nov  2 17:14:00 2019
jaltenango,71.98,86.0,0.0,6.26,15.87,-92.72,Sat Nov  2 17:14:00 2019
saskylakh,-4.13,98.0,100.0,6.22,71.97,114.09,Sat Nov  2 17:14:00 2019
mar del plata,60.03,38.0,34.0,38.36,-46.43,-67.52,Sat Nov  2 17:14:01 2019
ponta do sol,68.5,88.0,30.0,3.36,-20.63,-46.0,Sat Nov  2 17:14:01 2019
puerto ayora,72.57,69.0,20.0,19.46,-0.74,-90.35,Sat Nov  2 17:14:01 2019
perth,61.41,72.0,75.0,6.93,-31.95,115.86,Sat Nov  2 17:11:19 2019
alofi,78.8,61.0,100.0,12.75,-19.06,-169.92,Sat Nov  2 17:14:01 2019
cap malheureux,70.43,88.0,75.0,12.75,-19.98,57.61,Sat Nov  2 17:14:02 2019
warrnambool,61.0,72.0,34.0,11.01,-38.38,142.48,Sat Nov  2 17:10:39 2019
cabo san lucas,82.08,58.0,20.0,8.05,22.89,-109.91,Sat Nov  2 17:09:47 2019
mitsamiouli,79.03,79.0,41.0,5.77,-11.38,43.28,Sat Nov  2 17:14:02 2019
san quintin,79.21,76.0,90.0,2.71,17.54,120.52,Sat Nov  2 17:14:02 2019
mafinga,79.21,76.0,90.0,2.71,17.54,120.52,Sat Nov  2 17:14:02 2019
rincon,75.49,88.0,75.0,2.24,8.46,-82.28,Sat Nov  2 17:14:03 2019
kahului,80.38,69.0,40.0,10.29,20.89,-156.47,Sat Nov  2 17:14:03 2019
grand gaube,70.43,88.0,75.0,12.75,-20.01,57.66,Sat Nov  2 17:14:03 2019
roma,60.67,88.0,40.0,14.99,41.89,12.48,Sat Nov  2 17:11:56 2019
hay river,26.6,92.0,90.0,21.92,60.82,-115.79,Sat Nov  2 17:14:04 2019
kupino,23.79,69.0,0.0,6.35,54.36,77.31,Sat Nov  2 17:14:04 2019
eydhafushi,82.89,64.0,19.0,2.8,5.1,73.07,Sat Nov  2 17:12:11 2019
nichinan,64.8,77.0,75.0,6.93,31.65,131.31,Sat Nov  2 17:14:05 2019
te anau,59.85,61.0,0.0,9.08,-45.41,167.72,Sat Nov  2 17:14:05 2019
carnarvon,58.98,28.0,0.0,8.97,-30.97,22.13,Sat Nov  2 17:14:05 2019
vao,39.18,94.0,100.0,10.56,59.1,26.19,Sat Nov  2 17:14:06 2019
samusu,39.18,94.0,100.0,10.56,59.1,26.19,Sat Nov  2 17:14:06 2019
hithadhoo,81.63,68.0,8.0,2.77,-0.6,73.08,Sat Nov  2 17:14:06 2019
rungata,81.63,68.0,8.0,2.77,-0.6,73.08,Sat Nov  2 17:14:06 2019
novyy yegorlyk,28.24,56.0,0.0,5.03,46.39,41.87,Sat Nov  2 17:14:06 2019
nabire,84.6,65.0,90.0,1.79,-3.36,135.5,Sat Nov  2 17:14:07 2019
san cristobal,67.33,93.0,31.0,3.71,14.68,-86.92,Sat Nov  2 17:14:07 2019
tura,11.98,81.0,100.0,16.89,64.27,100.22,Sat Nov  2 17:14:07 2019
nikolskoye,33.46,96.0,90.0,11.18,59.7,30.79,Sat Nov  2 17:14:07 2019
ballyshannon,51.01,95.0,85.0,1.99,54.5,-8.19,Sat Nov  2 17:14:08 2019
herat,58.93,57.0,10.0,7.74,34.35,62.22,Sat Nov  2 17:14:08 2019
fairbanks,20.32,92.0,90.0,1.16,64.84,-147.72,Sat Nov  2 17:10:32 2019
ocos,83.98,94.0,40.0,4.79,14.51,-92.19,Sat Nov  2 17:14:09 2019
kaura namoda,77.2,44.0,100.0,2.08,12.59,6.58,Sat Nov  2 17:14:09 2019
celestun,79.25,84.0,76.0,28.68,20.87,-90.4,Sat Nov  2 17:14:09 2019
zhezkazgan,27.91,55.0,71.0,13.53,47.8,67.71,Sat Nov  2 17:14:09 2019
calvinia,53.83,28.0,0.0,3.83,-31.47,19.78,Sat Nov  2 17:14:09 2019
bullhead city,77.65,6.0,1.0,9.17,35.15,-114.57,Sat Nov  2 17:14:10 2019
paciran,80.64,73.0,98.0,3.56,-6.9,112.33,Sat Nov  2 17:14:10 2019
paamiut,31.69,42.0,24.0,4.63,61.99,-49.67,Sat Nov  2 17:14:10 2019
provideniya,19.29,90.0,20.0,1.92,64.42,-173.23,Sat Nov  2 17:14:11 2019
talovaya,29.28,73.0,56.0,8.72,51.12,40.73,Sat Nov  2 17:14:11 2019
codrington,77.22,51.0,75.0,9.17,-28.95,153.24,Sat Nov  2 17:14:11 2019
limbang,77.77,94.0,75.0,4.7,4.75,115.01,Sat Nov  2 17:14:11 2019
uruzgan,40.75,65.0,0.0,0.13,32.93,66.63,Sat Nov  2 17:14:11 2019
sechura,64.15,89.0,35.0,13.91,-5.56,-80.82,Sat Nov  2 17:14:12 2019
sentyabrskiy,64.15,89.0,35.0,13.91,-5.56,-80.82,Sat Nov  2 17:14:12 2019
oum hadjer,81.25,15.0,15.0,6.31,13.3,19.7,Sat Nov  2 17:14:12 2019
xingyi,58.24,97.0,100.0,1.43,24.19,102.82,Sat Nov  2 17:14:12 2019
ceres,73.42,78.0,94.0,7.7,-15.31,-49.6,Sat Nov  2 17:11:11 2019
constitucion,73.4,33.0,90.0,4.7,23.99,-104.67,Sat Nov  2 17:14:13 2019
mahebourg,70.54,88.0,75.0,12.75,-20.41,57.7,Sat Nov  2 17:14:13 2019
lagoa,64.27,100.0,40.0,13.87,37.14,-8.45,Sat Nov  2 17:14:13 2019
sebring,78.26,83.0,75.0,4.7,27.5,-81.44,Sat Nov  2 17:14:13 2019
upernavik,22.33,69.0,100.0,8.34,72.79,-56.15,Sat Nov  2 17:14:14 2019
khatanga,-7.48,93.0,98.0,8.21,71.98,102.47,Sat Nov  2 17:14:14 2019
thompson,26.6,79.0,75.0,10.29,55.74,-97.86,Sat Nov  2 17:14:14 2019
tolaga bay,63.37,61.0,0.0,13.2,-38.37,178.3,Sat Nov  2 17:14:15 2019
tasiilaq,30.2,63.0,100.0,3.36,65.61,-37.64,Sat Nov  2 17:14:15 2019
arraial do cabo,73.31,87.0,0.0,24.9,-22.97,-42.02,Sat Nov  2 17:14:15 2019
west des moines,40.71,60.0,40.0,6.93,41.56,-93.76,Sat Nov  2 17:09:40 2019
yar-sale,4.96,85.0,50.0,8.9,66.83,70.83,Sat Nov  2 17:14:15 2019
barcelos,79.92,73.0,32.0,1.52,-0.97,-62.93,Sat Nov  2 17:14:16 2019
sur,76.6,77.0,56.0,3.42,22.57,59.53,Sat Nov  2 17:14:16 2019
caborca,77.13,44.0,100.0,1.01,30.58,-111.1,Sat Nov  2 17:14:16 2019
pauini,73.89,88.0,67.0,2.13,-7.71,-67.0,Sat Nov  2 17:14:16 2019
marsh harbour,79.05,71.0,21.0,7.78,26.54,-77.06,Sat Nov  2 17:14:16 2019
castro,48.2,81.0,75.0,11.41,-42.48,-73.76,Sat Nov  2 17:14:17 2019
puerto colombia,82.4,83.0,75.0,10.29,10.99,-74.96,Sat Nov  2 17:14:17 2019
vaitupu,82.4,83.0,75.0,10.29,10.99,-74.96,Sat Nov  2 17:14:17 2019
botwood,35.19,80.0,40.0,4.7,49.14,-55.34,Sat Nov  2 17:14:17 2019
skalistyy,35.19,80.0,40.0,4.7,49.14,-55.34,Sat Nov  2 17:14:17 2019
troitsko-pechorsk,18.68,94.0,84.0,0.72,62.71,56.19,Sat Nov  2 17:14:18 2019
hervey bay,75.11,73.0,75.0,14.99,-25.3,152.85,Sat Nov  2 17:14:18 2019
esperance,57.2,76.0,93.0,16.11,-33.86,121.89,Sat Nov  2 17:14:18 2019
nuuk,32.0,71.0,28.0,6.93,64.17,-51.74,Sat Nov  2 17:14:18 2019
mount gambier,59.0,82.0,40.0,14.99,-37.83,140.78,Sat Nov  2 17:13:23 2019
tsihombe,59.0,82.0,40.0,14.99,-37.83,140.78,Sat Nov  2 17:13:23 2019
aklavik,25.7,92.0,75.0,5.82,68.22,-135.01,Sat Nov  2 17:14:19 2019
champasak,71.51,90.0,67.0,0.69,14.89,105.88,Sat Nov  2 17:14:19 2019
katsuura,62.87,77.0,75.0,4.7,33.93,134.5,Sat Nov  2 17:14:19 2019
grand-santi,74.07,92.0,40.0,2.48,4.27,-54.38,Sat Nov  2 17:14:19 2019
victoria point,77.14,69.0,40.0,16.11,-27.58,153.3,Sat Nov  2 17:14:20 2019
bambous virieux,70.52,88.0,75.0,12.75,-20.34,57.76,Sat Nov  2 17:14:20 2019
batemans bay,75.4,68.0,91.0,3.0,-35.71,150.18,Sat Nov  2 17:14:20 2019
fukue,61.05,68.0,75.0,12.75,35.03,136.69,Sat Nov  2 17:14:20 2019
vila velha,80.26,74.0,40.0,10.29,-3.71,-38.6,Sat Nov  2 17:14:21 2019
geraldton,28.4,86.0,75.0,4.7,49.72,-86.95,Sat Nov  2 17:14:21 2019
jiaozhou,59.0,51.0,68.0,8.95,36.26,120.03,Sat Nov  2 17:14:21 2019
sao filipe,77.11,76.0,0.0,15.14,14.9,-24.5,Sat Nov  2 17:14:21 2019
coquimbo,57.2,82.0,98.0,10.29,-29.95,-71.34,Sat Nov  2 17:14:21 2019
vila,50.2,100.0,90.0,1.12,45.18,8.4,Sat Nov  2 17:14:21 2019
caravelas,69.67,93.0,1.0,5.23,-17.73,-39.27,Sat Nov  2 17:14:22 2019
narsaq,28.4,58.0,0.0,1.12,60.91,-46.05,Sat Nov  2 17:14:22 2019
hilo,78.28,55.0,20.0,11.41,19.71,-155.08,Sat Nov  2 17:14:22 2019
kjollefjord,21.04,74.0,19.0,4.63,70.95,27.35,Sat Nov  2 17:14:22 2019
gambela,69.64,91.0,1.0,4.47,8.25,34.59,Sat Nov  2 17:14:23 2019
redmond,53.29,47.0,1.0,4.7,47.67,-122.12,Sat Nov  2 17:12:37 2019
manavalakurichi,77.0,94.0,40.0,2.24,8.13,77.3,Sat Nov  2 17:14:23 2019
luganville,82.4,74.0,75.0,16.11,-15.51,167.18,Sat Nov  2 17:14:23 2019
pisco,68.36,30.0,18.0,21.92,-13.71,-76.2,Sat Nov  2 17:14:23 2019
zhangye,39.69,33.0,0.0,2.15,38.94,100.46,Sat Nov  2 17:14:24 2019
mizan teferi,61.03,92.0,17.0,3.96,6.99,35.58,Sat Nov  2 17:14:24 2019
flin flon,32.0,86.0,90.0,4.7,54.77,-101.88,Sat Nov  2 17:14:24 2019
kaseda,64.17,82.0,75.0,3.36,31.42,130.32,Sat Nov  2 17:14:24 2019
cangzhou,51.87,58.0,100.0,14.74,38.3,116.85,Sat Nov  2 17:14:24 2019
chuy,64.99,92.0,100.0,10.09,-33.69,-53.46,Sat Nov  2 17:14:25 2019
bowen,80.96,69.0,40.0,13.87,-20.01,148.25,Sat Nov  2 17:14:25 2019
richards bay,72.34,81.0,0.0,11.45,-28.77,32.06,Sat Nov  2 17:14:25 2019
sobolevo,40.53,76.0,100.0,20.4,54.43,31.9,Sat Nov  2 17:14:25 2019
san patricio,83.84,53.0,1.0,10.76,-26.98,-56.83,Sat Nov  2 17:14:25 2019
bo rai,80.01,93.0,97.0,3.89,12.57,102.54,Sat Nov  2 17:14:26 2019
mehamn,20.73,81.0,14.0,8.57,71.03,27.85,Sat Nov  2 17:14:26 2019
cartagena,67.51,72.0,33.0,4.7,37.63,-1.0,Sat Nov  2 17:14:26 2019
kodiak,43.18,45.0,1.0,4.7,39.95,-94.76,Sat Nov  2 17:14:26 2019
dolbeau,43.18,45.0,1.0,4.7,39.95,-94.76,Sat Nov  2 17:14:26 2019
cocobeach,75.2,94.0,40.0,4.7,1.01,9.58,Sat Nov  2 17:14:27 2019
bereda,57.25,93.0,75.0,27.51,43.27,-7.54,Sat Nov  2 17:14:27 2019
necochea,50.07,87.0,0.0,9.91,-38.55,-58.74,Sat Nov  2 17:14:27 2019
darasun,17.6,85.0,0.0,1.01,51.66,113.98,Sat Nov  2 17:14:27 2019
elban,29.8,62.0,96.0,9.22,50.1,136.51,Sat Nov  2 17:14:27 2019
east london,64.98,64.0,8.0,13.33,-33.02,27.91,Sat Nov  2 17:14:28 2019
willmar,32.02,92.0,1.0,3.11,45.12,-95.04,Sat Nov  2 17:14:28 2019
bafra,39.2,86.0,33.0,2.24,41.57,35.91,Sat Nov  2 17:14:28 2019
nuevo progreso,68.38,35.0,1.0,10.29,26.05,-97.95,Sat Nov  2 17:14:28 2019
guerrero negro,79.16,21.0,100.0,11.18,27.97,-114.04,Sat Nov  2 17:14:28 2019
hasaki,60.87,77.0,75.0,5.82,35.73,140.83,Sat Nov  2 17:14:29 2019
bethel,27.5,68.0,1.0,19.46,60.79,-161.76,Sat Nov  2 17:14:29 2019
nantucket,45.72,75.0,90.0,7.94,41.28,-70.1,Sat Nov  2 17:13:33 2019
la ronge,32.0,94.0,75.0,4.7,55.1,-105.3,Sat Nov  2 17:14:29 2019
ambilobe,73.33,84.0,94.0,7.85,-13.19,49.05,Sat Nov  2 17:14:30 2019
cherskiy,13.62,85.0,46.0,10.16,68.75,161.3,Sat Nov  2 17:14:30 2019
ancud,48.2,81.0,75.0,11.41,-41.87,-73.83,Sat Nov  2 17:14:30 2019
gorno-chuyskiy,48.2,81.0,75.0,11.41,-41.87,-73.83,Sat Nov  2 17:14:30 2019
cidreira,70.97,93.0,99.0,5.84,-30.17,-50.22,Sat Nov  2 17:14:30 2019
ostrovnoy,23.05,85.0,100.0,25.19,68.05,39.51,Sat Nov  2 17:14:30 2019
ixtapa,84.09,79.0,90.0,6.93,20.71,-105.21,Sat Nov  2 17:14:31 2019
cockburn town,80.82,73.0,0.0,17.76,21.46,-71.14,Sat Nov  2 17:14:31 2019
kruisfontein,58.6,82.0,19.0,11.86,-34.0,24.73,Sat Nov  2 17:14:31 2019
solovetskiy,58.6,82.0,19.0,11.86,-34.0,24.73,Sat Nov  2 17:14:31 2019
mizdah,61.74,56.0,16.0,6.4,31.45,12.98,Sat Nov  2 17:14:31 2019
shingu,66.2,68.0,40.0,4.7,33.72,135.99,Sat Nov  2 17:14:32 2019
tateyama,57.06,71.0,91.0,1.12,36.66,137.31,Sat Nov  2 17:14:32 2019
phan thiet,74.46,89.0,88.0,4.32,10.93,108.1,Sat Nov  2 17:10:00 2019
sembe,74.46,89.0,88.0,4.32,10.93,108.1,Sat Nov  2 17:10:00 2019
ruatoria,74.46,89.0,88.0,4.32,10.93,108.1,Sat Nov  2 17:10:00 2019
salalah,80.6,78.0,88.0,3.36,17.01,54.1,Sat Nov  2 17:14:33 2019
nouadhibou,75.2,60.0,0.0,14.99,20.93,-17.03,Sat Nov  2 17:14:33 2019
vieux-habitants,77.0,88.0,32.0,3.36,16.06,-61.77,Sat Nov  2 17:14:33 2019
carbonia,64.99,93.0,20.0,4.7,39.17,8.53,Sat Nov  2 17:14:33 2019
